cnt,mnth,hr,holiday,workingday,weathersit,temp,atemp,hum,windspeed,season
16,1,0,0,0,1,0.24,0.2879,0.81,0,1
40,1,1,0,0,1,0.22,0.2727,0.8,0,1
32,1,2,0,0,1,0.22,0.2727,0.8,0,1
13,1,3,0,0,1,0.24,0.2879,0.75,0,1
1,1,4,0,0,1,0.24,0.2879,0.75,0,1
1,1,5,0,0,2,0.24,0.2576,0.75,0.0896,1
2,1,6,0,0,1,0.22,0.2727,0.8,0,1
3,1,7,0,0,1,0.2,0.2576,0.86,0,1
8,1,8,0,0,1,0.24,0.2879,0.75,0,1
14,1,9,0,0,1,0.32,0.3485,0.76,0,1
36,1,10,0,0,1,0.38,0.3939,0.76,0.2537,1
56,1,11,0,0,1,0.36,0.3333,0.81,0.2836,1
84,1,12,0,0,1,0.42,0.4242,0.77,0.2836,1
94,1,13,0,0,2,0.46,0.4545,0.72,0.2985,1
106,1,14,0,0,2,0.46,0.4545,0.72,0.2836,1
110,1,15,0,0,2,0.44,0.4394,0.77,0.2985,1
93,1,16,0,0,2,0.42,0.4242,0.82,0.2985,1
67,1,17,0,0,2,0.44,0.4394,0.82,0.2836,1
35,1,18,0,0,3,0.42,0.4242,0.88,0.2537,1
37,1,19,0,0,3,0.42,0.4242,0.88,0.2537,1
36,1,20,0,0,2,0.4,0.4091,0.87,0.2537,1
34,1,21,0,0,2,0.4,0.4091,0.87,0.194,1
28,1,22,0,0,2,0.4,0.4091,0.94,0.2239,1
39,1,23,0,0,2,0.46,0.4545,0.88,0.2985,1
17,1,0,0,0,2,0.46,0.4545,0.88,0.2985,1
17,1,1,0,0,2,0.44,0.4394,0.94,0.2537,1
9,1,2,0,0,2,0.42,0.4242,1,0.2836,1
6,1,3,0,0,2,0.46,0.4545,0.94,0.194,1
3,1,4,0,0,2,0.46,0.4545,0.94,0.194,1
2,1,6,0,0,3,0.42,0.4242,0.77,0.2985,1
1,1,7,0,0,2,0.4,0.4091,0.76,0.194,1
8,1,8,0,0,3,0.4,0.4091,0.71,0.2239,1
20,1,9,0,0,2,0.38,0.3939,0.76,0.2239,1
53,1,10,0,0,2,0.36,0.3485,0.81,0.2239,1
70,1,11,0,0,2,0.36,0.3333,0.71,0.2537,1
93,1,12,0,0,2,0.36,0.3333,0.66,0.2985,1
75,1,13,0,0,2,0.36,0.3485,0.66,0.1343,1
59,1,14,0,0,3,0.36,0.3485,0.76,0.194,1
74,1,15,0,0,3,0.34,0.3333,0.81,0.1642,1
76,1,16,0,0,3,0.34,0.3333,0.71,0.1642,1
65,1,17,0,0,1,0.34,0.3333,0.57,0.194,1
53,1,18,0,0,2,0.36,0.3333,0.46,0.3284,1
30,1,19,0,0,1,0.32,0.2879,0.42,0.4478,1
22,1,20,0,0,1,0.3,0.2727,0.39,0.3582,1
31,1,21,0,0,1,0.26,0.2273,0.44,0.3284,1
9,1,22,0,0,1,0.24,0.2121,0.44,0.2985,1
8,1,23,0,0,1,0.22,0.2273,0.47,0.1642,1
5,1,0,0,1,1,0.22,0.197,0.44,0.3582,1
2,1,1,0,1,1,0.2,0.1667,0.44,0.4179,1
1,1,4,0,1,1,0.16,0.1364,0.47,0.3881,1
3,1,5,0,1,1,0.16,0.1364,0.47,0.2836,1
30,1,6,0,1,1,0.14,0.1061,0.5,0.3881,1
64,1,7,0,1,1,0.14,0.1364,0.5,0.194,1
154,1,8,0,1,1,0.14,0.1212,0.5,0.2836,1
88,1,9,0,1,1,0.16,0.1364,0.43,0.3881,1
44,1,10,0,1,1,0.18,0.1667,0.43,0.2537,1
51,1,11,0,1,1,0.2,0.1818,0.4,0.3284,1
61,1,12,0,1,1,0.22,0.2121,0.35,0.2985,1
61,1,13,0,1,1,0.24,0.2121,0.35,0.2836,1
77,1,14,0,1,1,0.26,0.2424,0.3,0.2836,1
72,1,15,0,1,1,0.26,0.2424,0.3,0.2537,1
76,1,16,0,1,1,0.26,0.2424,0.3,0.2537,1
157,1,17,0,1,1,0.24,0.2273,0.3,0.2239,1
157,1,18,0,1,1,0.24,0.2576,0.32,0.1045,1
110,1,19,0,1,1,0.2,0.2576,0.47,0,1
52,1,20,0,1,1,0.2,0.2273,0.47,0.1045,1
52,1,21,0,1,1,0.18,0.197,0.64,0.1343,1
20,1,22,0,1,1,0.14,0.1515,0.69,0.1343,1
12,1,23,0,1,1,0.18,0.2121,0.55,0.1045,1
5,1,0,0,1,1,0.16,0.1818,0.55,0.1045,1
2,1,1,0,1,1,0.16,0.1818,0.59,0.1045,1
1,1,2,0,1,1,0.14,0.1515,0.63,0.1343,1
2,1,4,0,1,1,0.14,0.1818,0.63,0.0896,1
4,1,5,0,1,1,0.12,0.1515,0.68,0.1045,1
36,1,6,0,1,1,0.12,0.1515,0.74,0.1045,1
94,1,7,0,1,1,0.12,0.1515,0.74,0.1343,1
179,1,8,0,1,1,0.14,0.1515,0.69,0.1642,1
100,1,9,0,1,1,0.16,0.1515,0.64,0.2239,1
42,1,10,0,1,2,0.16,0.1364,0.69,0.3284,1
57,1,11,0,1,1,0.22,0.2121,0.51,0.2985,1
78,1,12,0,1,1,0.22,0.2273,0.51,0.1642,1
97,1,13,0,1,1,0.24,0.2273,0.56,0.194,1
63,1,14,0,1,1,0.26,0.2576,0.52,0.2239,1
65,1,15,0,1,1,0.28,0.2727,0.52,0.2537,1
83,1,16,0,1,1,0.3,0.2879,0.49,0.2537,1
212,1,17,0,1,1,0.28,0.2727,0.48,0.2239,1
182,1,18,0,1,1,0.26,0.2576,0.48,0.194,1
112,1,19,0,1,1,0.24,0.2576,0.48,0.1045,1
54,1,20,0,1,1,0.24,0.2576,0.48,0.1045,1
48,1,21,0,1,1,0.22,0.2727,0.64,0,1
35,1,22,0,1,1,0.22,0.2576,0.64,0.0896,1
11,1,23,0,1,1,0.2,0.2273,0.69,0.0896,1
6,1,0,0,1,1,0.2,0.2576,0.64,0,1
6,1,1,0,1,1,0.16,0.197,0.74,0.0896,1
2,1,2,0,1,1,0.16,0.197,0.74,0.0896,1
2,1,4,0,1,1,0.24,0.2273,0.48,0.2239,1
3,1,5,0,1,1,0.22,0.2273,0.47,0.1642,1
33,1,6,0,1,1,0.2,0.197,0.47,0.2239,1
88,1,7,0,1,1,0.18,0.1818,0.43,0.194,1
195,1,8,0,1,1,0.2,0.1818,0.4,0.2985,1
115,1,9,0,1,1,0.22,0.197,0.37,0.3284,1
57,1,10,0,1,1,0.22,0.197,0.37,0.3284,1
46,1,11,0,1,1,0.26,0.2273,0.33,0.3284,1
79,1,12,0,1,1,0.26,0.2273,0.33,0.3284,1
