month,hr,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
1,0,182,0.126760563,0.2,0.93,0.10619469,3,0,1,3
1,1,138,0.126760563,0.2125,0.93,0.088495575,1,0,1,3
1,2,134,0.112676056,0.2125,0.965,0,1,0,1,3
1,3,72,0.098591549,0.2,1,0,1,0,1,3
1,4,47,0.098591549,0.15,0.93,0.115044248,1,0,1,3
1,5,46,0.098591549,0.2,0.93,0.07079646,1,0,1,3
1,6,51,0.070422535,0.125,1,0.123893805,4,0,1,3
1,7,75,0.070422535,0.125,1,0.123893805,4,0,1,3
1,8,131,0.084507042,0.125,0.965,0.14159292,4,0,1,3
1,9,301,0.098591549,0.1375,1,0.159292035,3,0,1,3
1,10,528,0.126760563,0.1375,0.93,0.212389381,3,0,1,3
1,11,727,0.098591549,0.1125,1,0.212389381,3,0,1,3
1,12,862,0.098591549,0.1125,0.965,0.230088496,4,0,1,3
1,13,916,0.126760563,0.1375,0.87,0.265486726,3,0,1,3
1,14,1039,0.112676056,0.15,0.9,0.14159292,3,0,1,3
1,15,869,0.098591549,0.1125,0.93,0.194690265,3,0,1,3
1,16,737,0.126760563,0.15,0.93,0.212389381,3,0,1,3
1,17,594,0.126760563,0.15,0.93,0.194690265,3,0,1,3
1,18,522,0.126760563,0.1875,0.93,0.115044248,3,0,1,3
1,19,379,0.126760563,0.175,0.93,0.123893805,3,0,1,3
1,20,328,0.126760563,0.225,0.93,0.07079646,3,0,1,3
1,21,221,0.126760563,0.2125,0.93,0.088495575,4,0,1,3
1,22,178,0.126760563,0.2,0.93,0.10619469,4,0,1,3
1,23,157,0.154929577,0.2375,0.87,0.088495575,4,0,1,3
1,0,83,0.154929577,0.225,0.93,0.10619469,4,0,0,3
1,1,67,0.154929577,0.2375,0.93,0.088495575,4,0,0,3
1,2,32,0.183098592,0.25,0.87,0.10619469,4,0,0,3
1,3,22,0.211267606,0.2625,0.84,0.132743363,4,0,0,3
1,4,38,0.225352113,0.275,0.84,0.14159292,4,0,0,3
1,5,81,0.211267606,0.2875,0.87,0.088495575,4,0,0,3
1,6,444,0.23943662,0.3125,0.81,0.088495575,3,0,0,3
1,7,1597,0.23943662,0.3,0.81,0.115044248,3,0,0,3
1,8,3161,0.267605634,0.3375,0.79,0.088495575,3,0,0,3
1,9,1342,0.267605634,0.325,0.82,0.10619469,3,0,0,3
1,10,568,0.295774648,0.35,0.845,0.115044248,3,0,0,3
1,11,584,0.295774648,0.3375,0.905,0.17699115,3,0,0,3
1,12,762,0.323943662,0.35,0.85,0.194690265,3,0,0,3
1,13,873,0.323943662,0.3625,0.82,0.17699115,3,0,0,3
1,14,672,0.323943662,0.375,0.82,0.159292035,3,0,0,3
1,15,807,0.323943662,0.3625,0.79,0.17699115,3,0,0,3
1,16,1192,0.323943662,0.3625,0.735,0.230088496,3,0,0,3
1,17,2761,0.309859155,0.3375,0.735,0.212389381,3,0,0,3
1,18,2389,0.309859155,0.3375,0.69,0.247787611,3,0,0,3
1,19,1274,0.295774648,0.3125,0.71,0.247787611,3,0,0,3
1,20,696,0.295774648,0.325,0.71,0.247787611,3,0,0,3
1,21,411,0.295774648,0.325,0.71,0.194690265,3,0,0,3
1,22,324,0.295774648,0.3375,0.71,0.17699115,4,0,0,3
1,23,192,0.281690141,0.3375,0.735,0.14159292,4,0,0,3
1,0,91,0.267605634,0.3125,0.76,0.14159292,4,0,0,3
1,1,73,0.267605634,0.3125,0.76,0.14159292,4,0,0,3
1,2,33,0.267605634,0.3,0.76,0.194690265,4,0,0,3
1,3,19,0.267605634,0.2875,0.76,0.247787611,4,0,0,3
1,4,40,0.281690141,0.3125,0.735,0.194690265,4,0,0,3
1,5,74,0.267605634,0.2875,0.82,0.247787611,4,0,0,3
1,6,530,0.267605634,0.275,0.845,0.265486726,3,0,0,3
1,7,1715,0.295774648,0.325,0.82,0.230088496,3,0,0,3
1,8,3534,0.295774648,0.325,0.82,0.212389381,7,0,0,3
1,9,1573,0.295774648,0.3125,0.87,0.283185841,7,0,0,3
1,10,635,0.323943662,0.3375,0.88,0.345132743,3,0,0,3
1,11,550,0.323943662,0.35,0.88,0.318584071,3,0,0,3
1,12,395,0.352112676,0.425,0.85,0.336283186,7,0,0,3
1,13,426,0.309859155,0.3,0.845,0.486725664,3,0,0,3
1,14,579,0.295774648,0.3,0.71,0.460176991,3,0,0,3
1,15,718,0.267605634,0.2625,0.71,0.407079646,2,0,0,3
1,16,1184,0.267605634,0.275,0.685,0.345132743,2,0,0,3
1,17,2662,0.253521127,0.25,0.71,0.389380531,1,0,0,3
1,18,2610,0.23943662,0.25,0.71,0.309734513,1,0,0,3
1,19,1402,0.211267606,0.225,0.76,0.265486726,1,0,0,3
1,20,720,0.197183099,0.2125,0.785,0.265486726,1,0,0,3
1,21,494,0.183098592,0.2,0.81,0.265486726,1,0,0,3
1,22,344,0.169014085,0.1875,0.81,0.230088496,1,0,0,3
1,23,212,0.154929577,0.175,0.84,0.212389381,1,0,0,3
1,0,102,0.154929577,0.175,0.81,0.212389381,1,0,0,3
1,1,60,0.154929577,0.175,0.81,0.194690265,1,0,0,3
1,2,33,0.154929577,0.1875,0.81,0.17699115,1,0,0,3
1,3,26,0.14084507,0.175,0.84,0.159292035,2,0,0,3
1,4,33,0.154929577,0.1875,0.81,0.17699115,2,0,0,3
1,5,80,0.154929577,0.2,0.87,0.159292035,1,0,0,3
1,6,526,0.183098592,0.2125,0.81,0.17699115,1,0,0,3
1,7,1757,0.197183099,0.2125,0.81,0.230088496,1,0,0,3
1,8,3618,0.225352113,0.2375,0.81,0.265486726,2,0,0,3
1,9,1714,0.267605634,0.275,0.76,0.336283186,3,0,0,3
1,10,763,0.267605634,0.275,0.82,0.345132743,2,0,0,3
1,11,690,0.295774648,0.3,0.76,0.371681416,2,0,0,3
1,12,913,0.295774648,0.2875,0.76,0.477876106,2,0,0,3
1,13,982,0.309859155,0.3,0.715,0.495575221,2,0,0,3
1,14,783,0.323943662,0.3125,0.62,0.504424779,2,0,0,3
1,15,794,0.295774648,0.3,0.685,0.442477876,2,0,0,3
1,16,1171,0.295774648,0.3,0.76,0.442477876,3,0,0,3
1,17,2647,0.309859155,0.3125,0.715,0.424778761,3,0,0,3
1,18,2579,0.323943662,0.325,0.71,0.530973451,3,0,0,3
1,20,657,0.323943662,0.3125,0.79,0.539823009,3,0,0,3
1,21,516,0.323943662,0.325,0.82,0.477876106,7,0,0,3
1,22,414,0.323943662,0.325,0.82,0.477876106,7,0,0,3
1,23,206,0.323943662,0.325,0.85,0.424778761,7,0,0,3
1,0,123,0.352112676,0.425,0.82,0.460176991,4,0,0,3
1,1,56,0.366197183,0.4375,0.85,0.424778761,3,0,0,3
1,2,51,0.38028169,0.45,0.82,0.442477876,3,0,0,3
1,3,33,0.38028169,0.45,0.85,0.389380531,3,0,0,3
1,4,32,0.38028169,0.45,0.88,0.362831858,7,0,0,3
1,5,87,0.38028169,0.45,0.8,0.362831858,7,0,0,3
1,6,511,0.366197183,0.4375,0.745,0.300884956,3,0,0,3
1,7,982,0.338028169,0.3875,0.825,0.300884956,7,0,0,3
1,8,1228,0.309859155,0.3375,0.875,0.247787611,7,0,0,3
1,9,573,0.295774648,0.325,0.87,0.230088496,7,0,0,3
1,10,185,0.295774648,0.325,0.87,0.247787611,7,0,0,3
1,11,193,0.295774648,0.3,0.82,0.362831858,7,0,0,3
1,12,522,0.295774648,0.3125,0.845,0.300884956,2,0,0,3
1,13,672,0.295774648,0.2875,0.79,0.477876106,2,0,0,3
1,14,761,0.323943662,0.325,0.71,0.389380531,2,0,0,3
1,15,781,0.295774648,0.3,0.71,0.389380531,2,0,0,3
1,16,1212,0.295774648,0.3,0.71,0.345132743,2,0,0,3
1,17,2351,0.295774648,0.3,0.76,0.389380531,2,0,0,3
1,18,2110,0.281690141,0.2875,0.735,0.398230088,1,0,0,3
1,19,1239,0.267605634,0.275,0.735,0.362831858,1,0,0,3
1,20,752,0.267605634,0.275,0.76,0.300884956,1,0,0,3
1,21,457,0.267605634,0.2625,0.76,0.362831858,1,0,0,3
1,22,423,0.281690141,0.2875,0.735,0.371681416,1,0,0,3
1,23,267,0.295774648,0.2875,0.76,0.477876106,2,0,0,3
1,0,147,0.323943662,0.325,0.71,0.495575221,2,0,0,3
1,1,60,0.323943662,0.325,0.735,0.530973451,7,0,0,3
1,2,65,0.323943662,0.3125,0.79,0.522123894,7,0,0,3
1,3,42,0.352112676,0.425,0.795,0.513274336,3,0,0,3
1,4,47,0.352112676,0.425,0.85,0.584070796,3,0,0,3
1,5,85,0.366197183,0.4375,0.85,0.584070796,3,0,0,3
1,6,441,0.38028169,0.45,0.82,0.575221239,3,0,0,3
1,7,1593,0.38028169,0.45,0.82,0.557522124,3,0,0,3
1,8,3505,0.38028169,0.45,0.795,0.442477876,2,0,0,3
1,9,1768,0.38028169,0.45,0.745,0.530973451,2,0,0,3
1,10,799,0.394366197,0.4625,0.695,0.522123894,1,0,0,3
1,11,806,0.408450704,0.475,0.67,0.495575221,1,0,0,3
1,12,1052,0.408450704,0.475,0.67,0.460176991,1,0,0,3
1,13,1078,0.408450704,0.475,0.63,0.530973451,1,0,0,3
1,14,976,0.408450704,0.475,0.63,0.460176991,2,0,0,3
1,15,912,0.422535211,0.4875,0.675,0.592920354,7,0,0,3
1,16,1229,0.408450704,0.475,0.795,0.654867257,7,0,0,3
1,17,2409,0.422535211,0.4875,0.85,0.619469027,7,0,0,3
1,18,1983,0.464788732,0.525,0.82,0.637168142,7,0,0,3
1,19,1094,0.478873239,0.5375,0.77,0.725663717,7,0,0,3
1,20,686,0.464788732,0.525,0.72,0.778761062,3,0,0,3
1,21,443,0.464788732,0.525,0.68,0.725663717,3,0,0,3
1,22,464,0.464788732,0.525,0.68,0.707964602,3,0,0,3
1,23,420,0.436619718,0.5,0.77,0.734513274,4,0,0,3
1,0,392,0.436619718,0.5,0.77,0.690265487,4,0,1,3
1,1,277,0.436619718,0.5,0.77,0.707964602,4,0,1,3
1,2,189,0.436619718,0.5,0.72,0.716814159,3,0,1,3
1,3,153,0.408450704,0.475,0.77,0.725663717,3,0,1,3
1,4,90,0.408450704,0.475,0.77,0.637168142,3,0,1,3
1,5,52,0.408450704,0.475,0.77,0.619469027,3,0,1,3
1,6,69,0.408450704,0.475,0.82,0.619469027,7,0,1,3
1,7,143,0.408450704,0.475,0.795,0.619469027,3,0,1,3
1,8,321,0.436619718,0.5,0.745,0.707964602,3,0,1,3
1,9,619,0.436619718,0.5,0.77,0.849557522,3,0,1,3
1,10,757,0.436619718,0.5,0.745,0.725663717,7,0,1,3
1,11,800,0.366197183,0.4375,0.675,0.752212389,3,0,1,3
